start	end	text
0	1000	Здравствуйте.
1000	2000	Здравствуйте.
2000	3000	Здравствуйте.
3000	4000	Здравствуйте.
4000	5000	Здравствуйте.
5000	7000	Вы на Северном полюсе.
7000	10000	Да, красота тут.
10000	13000	Видимо, хорошего вас захвата.
13000	14000	Здравствуйте.
14000	15000	Здравствуйте.
15000	16000	Здравствуйте.
16000	17000	Здравствуйте.
17000	18000	Здравствуйте.
18000	19000	Здравствуйте.
19000	20000	Здравствуйте.
20000	22000	Вы на Северном полюсе.
22000	23000	Да.
23000	24000	Красота тут.
24000	25000	Здравствуйте.
25000	26000	Здравствуйте.
26000	27000	Здравствуйте.
27000	28000	Здравствуйте.
28000	29000	Здравствуйте.
29000	30000	Здравствуйте.
30000	31000	Здравствуйте.
31000	32000	Здравствуйте.
32000	33000	Здравствуйте.
33000	34000	Здравствуйте.
34000	35000	Здравствуйте.
35000	36000	Здравствуйте.
36000	37000	Здравствуйте.
37000	38000	Здравствуйте.
38000	39000	Здравствуйте.
39000	40000	Здравствуйте.
40000	41000	Здравствуйте.
41000	42000	Здравствуйте.
42000	43000	Здравствуйте.
43000	44000	Здравствуйте.
44000	45000	Здравствуйте.
45000	46000	Здравствуйте.
46000	47000	Здравствуйте.
47000	48000	Здравствуйте.
48000	49000	Здравствуйте.
49000	50000	Здравствуйте.
50000	51000	Здравствуйте.
51000	52000	Здравствуйте.
52000	53000	Здравствуйте.
53000	54000	Здравствуйте.
54000	55000	Здравствуйте.
55000	56000	Здравствуйте.
56000	57000	Здравствуйте.
57000	58000	Здравствуйте.
58000	59000	Здравствуйте.
59000	60000	Здравствуйте.
60000	61000	Здравствуйте.
61000	62000	Здравствуйте.
62000	63000	Здравствуйте.
63000	64000	Здравствуйте.
64000	65000	Здравствуйте.
65000	66000	Здравствуйте.
66000	67000	Здравствуйте.
67000	68000	Здравствуйте.
68000	69000	Здравствуйте.
69000	70000	Здравствуйте.
70000	71000	Здравствуйте.
71000	72000	Здравствуйте.
72000	73000	Здравствуйте.
73000	74000	Здравствуйте.
74000	75000	Здравствуйте.
75000	76000	Здравствуйте.
76000	77000	Здравствуйте.
77000	78000	Здравствуйте.
78000	79000	Здравствуйте.
79000	80000	Здравствуйте.
80000	81000	Здравствуйте.
81000	82000	Здравствуйте.
82000	83000	Здравствуйте.
83000	84000	Здравствуйте.
84000	85000	Здравствуйте.
85000	86000	Здравствуйте.
86000	87000	Здравствуйте.
87000	88000	Здравствуйте.
88000	88000	
88000	88000	
88000	89000	Здравствуйте.
89000	89000	
89000	90000	Здравствуйте.
90000	91000	Здравствуйте.
91000	92000	Здравствуйте.
92000	93000	Здравствуйте.
93000	93000	
93000	94000	Здравствуйте.
94000	95000	Здравствуйте.
95000	95000	
95000	96000	Здравствуйте.
96000	97000	Здравствуйте.
97000	98000	Здравствуйте.
98000	99000	Здравствуйте.
99000	100000	Здравствуйте.
100000	101000	Здравствуйте.
101000	102000	Здравствуйте.
102000	103000	Здравствуйте.
103000	103000	
103000	104000	Здравствуйте.
104000	105000	Здравствуйте.
105000	105000	
105000	106000	Здравствуйте.
106000	107000	Здравствуйте.
107000	108000	Здравствуйте.
108000	109000	Здравствуйте.
109000	110000	Здравствуйте.
110000	111000	Здравствуйте.
111000	112000	Здравствуйте.
112000	113000	Здравствуйте.
113000	114000	Здравствуйте.
114000	115000	Здравствуйте.
115000	116000	Здравствуйте.
116000	117000	Здравствуйте.
117000	118000	Здравствуйте.
118000	119000	Здравствуйте.
119000	120000	Здравствуйте.
120000	121000	Здравствуйте.
121000	122000	Здравствуйте.
122000	122000	
122000	123000	Здравствуйте.
123000	124000	Здравствуйте.
124000	125000	Здравствуйте.
125000	126000	Здравствуйте.
126000	127000	Здравствуйте.
127000	128000	Здравствуйте.
128000	129000	Здравствуйте.
129000	129000	
129000	130000	Здравствуйте.
130000	130000	
130000	131000	Здравствуйте.
131000	132000	Здравствуйте.
132000	133000	Здравствуйте.
133000	134000	Здравствуйте.
134000	135000	Здравствуйте.
